trial,seed,scenario,success,timeout,start_x,start_y,goal_x,goal_y,obstacle_x,obstacle_y,initial_heading_deg,start_goal_distance_m,elapsed_s,final_distance_m,path_length_m,path_efficiency,expect_obstacle,obstacle_activated,max_proximity,max_obstacle_blend,blend_steps,avoid_steps,goal_fallback_count,mode_transitions,estimated_min_clearance_m
1,20260924,clear,True,False,0.316315,0.297826,0.094364,-0.255452,-0.017406,0.110543,125.02,0.596136,22.336,0.034992,0.607852,0.980726,False,False,78.15,0.0,0,0,0,GOAL,0.102197
2,20260924,direct,True,False,-0.168673,-0.334005,0.066917,0.203484,-0.023822,-0.016646,-88.1591,0.586853,29.024,0.03423,0.693332,0.846424,True,True,1610.099,1.0,253,36,160,GOAL->BLEND->AVOID->BLEND->GOAL->BLEND->GOAL,0.00588
3,20260924,direct,True,False,0.310476,0.340534,0.357569,-0.332105,0.32,-0.052869,-38.6829,0.674285,29.824,0.034901,0.748246,0.901155,True,True,1975.735,1.0,327,41,0,GOAL->BLEND->AVOID->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL,0.004367
4,20260924,offset,True,False,0.053697,-0.281425,0.077734,0.35649,0.010553,0.037745,-46.3435,0.638368,22.688,0.034706,0.638234,1.000209,True,False,245.183,0.0,0,0,49,GOAL,0.025243
5,20260924,clear,True,False,0.310527,0.151337,0.010305,-0.264336,-0.034144,0.084022,-71.1356,0.512755,16.512,0.034077,0.485046,1.057126,False,False,79.016,0.0,0,0,0,GOAL,0.148814
6,20260924,direct,True,False,-0.17302,-0.223898,-0.302838,0.326961,-0.252947,0.103267,1.2106,0.56595,24.224,0.034053,0.60564,0.934466,True,True,2428.172,1.0,254,19,183,GOAL->BLEND->AVOID->BLEND->AVOID->BLEND->GOAL,0.001644
7,20260924,near_wall,True,False,-0.32,0.31,0.32,0.31,-0.007354,0.306698,140.0048,0.64,25.952,0.034477,0.675203,0.947863,True,True,1932.19,1.0,204,20,0,GOAL->BLEND->AVOID->BLEND->AVOID->BLEND->AVOID->BLEND->GOAL->BLEND->GOAL,0.001818
8,20260924,direct,True,False,-0.189345,0.355372,-0.115796,-0.27072,-0.140978,0.049933,-146.333,0.630396,24.448,0.034525,0.649322,0.970853,True,True,2222.727,1.0,167,20,0,GOAL->BLEND->AVOID->BLEND->AVOID->BLEND->AVOID->BLEND->GOAL->BLEND->GOAL->BLEND->AVOID->BLEND->GOAL->BLEND->GOAL,0.001799
9,20260924,direct,True,False,0.345362,0.068293,-0.176784,0.244729,0.094863,0.159671,-32.9445,0.551149,24.8,0.034334,0.607851,0.906718,True,True,2582.246,1.0,199,26,0,GOAL->BLEND->AVOID->BLEND->AVOID->BLEND->AVOID->BLEND->GOAL->BLEND->AVOID->GOAL->BLEND->GOAL,0.001708
10,20260924,direct,True,False,0.23623,-0.157797,-0.315605,-0.215846,-0.019852,-0.198487,144.84,0.55488,21.76,0.034915,0.576096,0.963172,True,True,2242.645,1.0,70,20,0,GOAL->BLEND->AVOID->BLEND->AVOID->BLEND->AVOID->BLEND->GOAL->BLEND->GOAL,0.001875
11,20260924,near_wall,True,False,-0.31,-0.32,-0.31,0.32,-0.319671,-0.065625,-99.2968,0.64,35.52,0.034137,0.800235,0.799766,True,True,2636.211,1.0,346,51,142,GOAL->BLEND->AVOID->BLEND->GOAL->BLEND->AVOID->BLEND->GOAL->BLEND->GOAL,0.001754
