trial,seed,scenario,success,timeout,start_x,start_y,goal_x,goal_y,obstacle_x,obstacle_y,initial_heading_deg,start_goal_distance_m,elapsed_s,final_distance_m,path_length_m,path_efficiency,expect_obstacle,obstacle_activated,neural_active_steps,max_proximity,max_obstacle_blend,max_abs_neural_steering,max_left_dna_spikes,max_right_dna_spikes,blend_steps,avoid_steps,goal_fallback_count,mode_transitions,estimated_min_clearance_m
1,20260924,clear,True,False,0.316315,0.297826,0.094364,-0.255452,-0.017406,0.110543,125.02,0.596136,22.336,0.034992,0.607852,0.980726,False,False,0,77.724,0.0,0.0,0,0,0,0,0,GOAL,0.102197
2,20260924,direct,True,False,-0.168673,-0.334005,0.066917,0.203484,-0.023822,-0.016646,-88.1591,0.586853,24.768,0.034411,0.632225,0.928234,True,True,123,2669.555,1.0,0.797886,0,5,113,34,148,GOAL->BLEND->AVOID->BLEND->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->BLEND->AVOID->BLEND->GOAL,0.001796
3,20260924,direct,False,True,0.310476,0.340534,0.357569,-0.332105,0.32,-0.052869,-38.6829,0.674285,45.024,0.356399,0.321125,2.099759,True,True,1085,1852.764,1.0,0.46953,5,5,15,1071,0,GOAL->BLEND->AVOID,0.001772
4,20260924,offset,True,False,0.053697,-0.281425,0.077734,0.35649,0.010553,0.037745,-46.3435,0.638368,22.688,0.034695,0.638234,1.00021,True,False,0,129.338,0.0,0.0,0,0,0,0,49,GOAL,0.025236
5,20260924,clear,True,False,0.310527,0.151337,0.010305,-0.264336,-0.034144,0.084022,-71.1356,0.512755,16.512,0.034077,0.485046,1.057126,False,False,0,77.837,0.0,0.0,0,0,0,0,0,GOAL,0.148814
6,20260924,direct,True,False,-0.17302,-0.223898,-0.302838,0.326961,-0.252947,0.103267,1.2106,0.56595,21.344,0.034666,0.577004,0.980842,True,True,104,2333.923,1.0,0.797959,0,5,84,11,92,GOAL->BLEND->AVOID->BLEND->GOAL->BLEND->GOAL,0.00153
7,20260924,near_wall,True,False,-0.32,0.31,0.32,0.31,-0.007354,0.306698,140.0048,0.64,24.544,0.03471,0.658711,0.971594,True,True,144,1970.379,1.0,0.797907,5,0,124,11,0,GOAL->BLEND->AVOID->BLEND->AVOID->BLEND->GOAL->BLEND->GOAL,0.001786
8,20260924,direct,True,False,-0.189345,0.355372,-0.115796,-0.27072,-0.140978,0.049933,-146.333,0.630396,22.784,0.034997,0.629789,1.000964,True,True,140,2350.8,1.0,0.797698,0,5,108,14,0,GOAL->BLEND->AVOID->BLEND->AVOID->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->AVOID->GOAL,0.00177
9,20260924,direct,True,False,0.345362,0.068293,-0.176784,0.244729,0.094863,0.159671,-32.9445,0.551149,23.552,0.034911,0.58972,0.934594,True,True,173,2668.09,1.0,0.797686,5,0,129,19,0,GOAL->BLEND->AVOID->BLEND->AVOID->BLEND->GOAL->BLEND->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL,0.001484
10,20260924,direct,True,False,0.23623,-0.157797,-0.315605,-0.215846,-0.019852,-0.198487,144.84,0.55488,19.712,0.034429,0.551609,1.005929,True,True,113,2064.056,1.0,0.797864,0,5,95,11,0,GOAL->BLEND->AVOID->BLEND->AVOID->GOAL->BLEND->GOAL,0.001774
11,20260924,near_wall,True,False,-0.31,-0.32,-0.31,0.32,-0.319671,-0.065625,-99.2968,0.64,31.36,0.034646,0.743394,0.860916,True,True,289,2661.725,1.0,0.866545,2,5,200,58,133,GOAL->BLEND->AVOID->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->BLEND->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->BLEND->AVOID->BLEND->GOAL,0.001789
12,20260924,offset,True,False,0.352107,0.120894,-0.116784,0.120429,0.121877,0.154138,147.061,0.468892,41.504,0.034194,0.542732,0.863947,True,True,810,2661.685,1.0,1.0,5,5,103,695,0,GOAL->BLEND->AVOID->GOAL->BLEND->GOAL,0.001769
13,20260924,clear,True,False,0.25533,0.127295,0.23851,-0.357846,-0.3,0.3,74.1006,0.485432,18.624,0.034795,0.496341,0.978021,False,False,0,80.11,0.0,0.0,0,0,0,0,0,GOAL,0.497143
14,20260924,near_wall,False,True,-0.31,0.32,-0.31,-0.32,-0.310668,0.024586,-40.2362,0.64,45.024,0.30021,0.427232,1.498014,True,True,1100,2669.223,1.0,0.797854,5,5,159,926,0,GOAL->BLEND->AVOID->GOAL->AVOID->GOAL->BLEND->GOAL->BLEND->GOAL,0.001773
15,20260924,direct,True,False,0.313652,0.134344,0.16667,-0.349412,0.230639,-0.131349,-132.989,0.505593,20.32,0.034136,0.528622,0.956435,True,True,188,2578.72,1.0,1.0,0,5,136,29,0,GOAL->BLEND->AVOID->BLEND->AVOID->BLEND->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->AVOID->GOAL->BLEND->GOAL,0.001786
